00A,heliport,Total Rf Heliport,11,NA,US,US-PA,Bensalem,00A,,00A,"40.07080078125, -74.93360137939453"
00AA,small_airport,Aero B Ranch Airport,3435,NA,US,US-KS,Leoti,00AA,,00AA,"38.704022, -101.473911"
00AK,small_airport,Lowell Field,450,NA,US,US-AK,Anchor Point,00AK,,00AK,"59.94919968, -151.695999146"
00AL,small_airport,Epps Airpark,820,NA,US,US-AL,Harvest,00AL,,00AL,"34.86479949951172, -86.77030181884766"
00AR,closed,Newport Hospital & Clinic Heliport,237,NA,US,US-AR,Newport,,,,"35.6087, -91.254898"
00AS,small_airport,Fulton Airport,1100,NA,US,US-OK,Alex,00AS,,00AS,"34.9428028, -97.8180194"
00AZ,small_airport,Cordes Airport,3810,NA,US,US-AZ,Cordes,00AZ,,00AZ,"34.305599212646484, -112.16500091552734"
00CA,small_airport,Goldstone /Gts/ Airport,3038,NA,US,US-CA,Barstow,00CA,,00CA,"35.350498199499995, -116.888000488"
00CL,small_airport,Williams Ag Airport,87,NA,US,US-CA,Biggs,00CL,,00CL,"39.427188, -121.763427"
00CN,heliport,Kitchen Creek Helibase Heliport,3350,NA,US,US-CA,Pine Valley,00CN,,00CN,"32.7273736, -116.4597417"
00CO,closed,Cass Field,4830,NA,US,US-CO,Briggsdale,,,,"40.622202, -104.344002"
00FA,small_airport,Grass Patch Airport,53,NA,US,US-FL,Bushnell,00FA,,00FA,"28.64550018310547, -82.21900177001953"
00FD,heliport,Ringhaver Heliport,25,NA,US,US-FL,Riverview,00FD,,00FD,"28.846599578857422, -82.34539794921875"
00FL,small_airport,River Oak Airport,35,NA,US,US-FL,Okeechobee,00FL,,00FL,"27.230899810791016, -80.96920013427734"
00GA,small_airport,Lt World Airport,700,NA,US,US-GA,Lithonia,00GA,,00GA,"33.76750183105469, -84.06829833984375"
00GE,heliport,Caffrey Heliport,957,NA,US,US-GA,Hiram,00GE,,00GE,"33.88420104980469, -84.73390197753906"
00HI,heliport,Kaupulehu Heliport,43,NA,US,US-HI,Kailua/Kona,00HI,,00HI,"19.832715, -155.980233"
00ID,small_airport,Delta Shores Airport,2064,NA,US,US-ID,Clark Fork,00ID,,00ID,"48.145301818847656, -116.21399688720703"
00IG,small_airport,Goltl Airport,3359,NA,US,US-KS,McDonald,00IG,,00IG,"39.724028, -101.395994"
